input_id,ratio,score_mean_kl,sequence_length,context_length,eval_length,mean_hidden_state_norm,attention_entropy,device,model_name
5,0.2,0.984731912612915,229,192,32,293.7279357910156,2.8735153675079346,mps,Qwen/Qwen2.5-0.5B
5,0.4,0.6631301641464233,229,192,32,293.7279357910156,2.8735153675079346,mps,Qwen/Qwen2.5-0.5B
5,0.6,0.5690308213233948,229,192,32,293.7279357910156,2.8735153675079346,mps,Qwen/Qwen2.5-0.5B
5,0.8,0.6166260838508606,229,192,32,293.7279357910156,2.8735153675079346,mps,Qwen/Qwen2.5-0.5B
6,0.2,1.3985408544540405,256,192,32,294.1707763671875,2.873777389526367,mps,Qwen/Qwen2.5-0.5B
6,0.4,1.5346260070800781,256,192,32,294.1707763671875,2.873777389526367,mps,Qwen/Qwen2.5-0.5B
6,0.6,1.2135958671569824,256,192,32,294.1707763671875,2.873777389526367,mps,Qwen/Qwen2.5-0.5B
6,0.8,1.2920430898666382,256,192,32,294.1707763671875,2.873777389526367,mps,Qwen/Qwen2.5-0.5B
9,0.2,0.5898085236549377,225,192,32,298.08209228515625,2.8717806339263916,mps,Qwen/Qwen2.5-0.5B
9,0.4,0.5109866261482239,225,192,32,298.08209228515625,2.8717806339263916,mps,Qwen/Qwen2.5-0.5B
9,0.6,0.3170785903930664,225,192,32,298.08209228515625,2.8717806339263916,mps,Qwen/Qwen2.5-0.5B
9,0.8,0.4920194447040558,225,192,32,298.08209228515625,2.8717806339263916,mps,Qwen/Qwen2.5-0.5B
10,0.2,0.9021846652030945,256,192,32,301.8186950683594,2.8158740997314453,mps,Qwen/Qwen2.5-0.5B
10,0.4,0.8091591596603394,256,192,32,301.8186950683594,2.8158740997314453,mps,Qwen/Qwen2.5-0.5B
10,0.6,0.6562595367431641,256,192,32,301.8186950683594,2.8158740997314453,mps,Qwen/Qwen2.5-0.5B
10,0.8,0.5457286834716797,256,192,32,301.8186950683594,2.8158740997314453,mps,Qwen/Qwen2.5-0.5B
11,0.2,0.7891402244567871,240,192,32,302.58978271484375,2.950263738632202,mps,Qwen/Qwen2.5-0.5B
11,0.4,0.44856375455856323,240,192,32,302.58978271484375,2.950263738632202,mps,Qwen/Qwen2.5-0.5B
11,0.6,0.5202943086624146,240,192,32,302.58978271484375,2.950263738632202,mps,Qwen/Qwen2.5-0.5B
11,0.8,1.2258358001708984,240,192,32,302.58978271484375,2.950263738632202,mps,Qwen/Qwen2.5-0.5B
13,0.2,0.8152898550033569,256,192,32,282.9732666015625,2.7269535064697266,mps,Qwen/Qwen2.5-0.5B
13,0.4,0.6192964315414429,256,192,32,282.9732666015625,2.7269535064697266,mps,Qwen/Qwen2.5-0.5B
13,0.6,0.5733535289764404,256,192,32,282.9732666015625,2.7269535064697266,mps,Qwen/Qwen2.5-0.5B
